id,name,catalog_type,catalog_label,quality,territory_id,territory_name,territory_role,claim_nairacoin,lat,lon,image,wikimedia_commons,mapillary,wikipedia
n_2455133108,HSB Hotel,hotel,Hotel,B,trans_ekulu,Trans-Ekulu,unclaimed,36,6.4704708,7.4955586,,,,
n_2455133125,Health Of Ihe Sick Pharmacy,pharmacy,Pharmacy,B,unclaimed,Unclaimed area,unclaimed,36,6.458544,7.49453,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac8d73234-ae00-4133-8e2f-2be5098c4c7a%5D%2FPOI_Picture1,,,
n_2455133144,"Hematology Dept, Enugu State University Teaching Hospital",school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.461937,7.494073,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A755f83ef-1d82-4cb3-a0c7-b53fe87594a4%5D%2FPOI_Picture1,,,
n_2455133152,Hiltops Clinics,hospital,Hospital,B,trans_ekulu,Trans-Ekulu,unclaimed,24,6.473831,7.500836,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca95fff7-5ccb-4cf4-9a90-1ae169755834%5D%2FPOI_Picture1,,,
n_2455133162,Holy Child Nursery & Primary,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.481227,7.50914,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A48834a61-7d21-4dd4-8388-86b5e2828ae4%5D%2FPOI_Picture1,,,
n_2455133191,Housing Estate Primary School,school,School,B,abakpa,Abakpa,playable_faction,20,6.481174,7.517894,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A45da8405-d6b9-4df2-b391-ed611e31c6e3%5D%2FPOI_Picture1,,,
n_2455133201,Justin Gray Infirmary,hospital,Hospital,B,trans_ekulu,Trans-Ekulu,unclaimed,24,6.4777394,7.4913909,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af0ff18e4-951f-4561-ae02-96148e000305%5D%2FPOI_Picture1,,,
n_2455133210,Kamsiyochukwu Clinic Maternity,hospital,Hospital,B,abakpa,Abakpa,playable_faction,20,6.483449,7.516615,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae98a4537-c180-487b-b1d5-8efaf0093201%5D%2FPOI_Picture1,,,
n_2455133217,Lotanna Clinic,hospital,Hospital,B,unclaimed,Unclaimed area,unclaimed,24,6.482701,7.50855,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac25a3df2-c5b1-49b7-9ad6-45ba4450f8c2%5D%2FPOI_Picture1,,,
n_2455133257,Magnet Nursery & Primary School,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.461381,7.499558,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae29446a5-5505-41a1-8640-336bad57aa45%5D%2FPOI_Picture1,,,
n_2455133280,Maranatha Eye Center,shop,Shop,B,trans_ekulu,Trans-Ekulu,unclaimed,42,6.472529,7.501437,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4d2da53f-47dc-4b94-8023-b5224d86c49f%5D%2FPOI_Picture1,,,
n_2455133301,Mavis Hotel,hotel,Hotel,B,trans_ekulu,Trans-Ekulu,unclaimed,36,6.473556,7.499449,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab279c59d-6e5d-4cf6-a1c7-3b4eb8d5d283%5D%2FPOI_Picture1,,,
n_2455133344,Midland Hotels,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.482876,7.51665,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A10f4ef8b-084f-434a-8123-4d9af93b9abb%5D%2FPOI_Picture1,,,
n_2455133345,Ministry Of Health 3,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.444124,7.489385,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa79d3f4c-d5e2-4b5c-9703-bcccf1f92caa%5D%2FPOI_Picture1,,,
